"title","barcode"
"BROAD CITY 2.2","00250693"
"BROAD CITY 3.1","00252074"
"BROAD CITY 3.2","00252075"
"BROAD CITY 4.1","00253115"
"BROAD CITY 4.2","00253116"
"BROAD CITY 5.1","00254241"
"BROAD CITY 5.2","00254242"
"BROADCHURCH 1.1","00247509"
"BROADCHURCH 1.2","00247510"
"BROADCHURCH 1.3","00247511"
"BROADCHURCH 2.1","00249526"
"BROADCHURCH 2.2","00249527"
"BROADCHURCH 2.3","00249528"
"BROADCHURCH 3.1","00252755"
"BROADCHURCH 3.2","00252756"
"BROADCHURCH 3.3","00252757"
"BROOKLYN NINE-NINE 1.1","00248217"
"BROOKLYN NINE-NINE 1.2","00248219"
"BROOKLYN NINE-NINE 1.3","00248221"
"BROOKLYN NINE-NINE 2.1","00250185"
"BROOKLYN NINE-NINE 2.2","00250186"
"BROOKLYN NINE-NINE 2.3","00250187"
"BUFFY 1.1","00191953"
"BUFFY 1.2","00191954"
"BUFFY 1.3","00191955"
"BUFFY 2.1","00191956"
"BUFFY 2.2","00191957"
"BUFFY 2.3","00191958"
"BUFFY 2.4","00191959"
"BUFFY 2.5","00191960"
"BUFFY 2.6","00191961"
"BUFFY 3.1","00191962"
"BUFFY 3.2","00191963"
"BUFFY 3.3","00191964"
"BUFFY 3.4","00191965"
"BUFFY 3.5","00191966"
"BUFFY 3.6","00191967"
"BUFFY 4.1","00206287"
"BUFFY 4.2","00206288"
"BUFFY 4.3","00206289"
"BUFFY 4.4","00206290"
"BUFFY 4.5","00206291"
"BUFFY 4.6","00206292"
"BUFFY 5.1","00192486"
"BUFFY 5.2","00192487"
"BUFFY 5.3","00192488"
"BUFFY 5.4","00192489"
"BUFFY 5.5","00192490"
"BUFFY 5.6","00192491"
"BUFFY 6.1","00195312"
"BUFFY 6.2","00195315"
"BUFFY 6.3","00195317"
"BUFFY 6.4","00195319"
"BUFFY 6.5","00195321"
"BUFFY 6.6","00195322"
"BUFFY 7.1","00198427"
"BUFFY 7.2","00198429"
"BUFFY 7.3","00198431"
"BUFFY 7.4","00203714"
"BUFFY 7.5","00219524"
"BUFFY 7.6","00206901"
"BURN NOTICE 1.1","00222332"
"BURN NOTICE 1.2","00222333"
"BURN NOTICE 1.3","00222334"
"BURN NOTICE 2.1","00228131"
"BURN NOTICE 2.2","00228132"
"BURN NOTICE 2.3","00228133"
"BURN NOTICE 2.4","00228134"
"BURN NOTICE 3.1","00235429"
"BURN NOTICE 3.2","00235430"
"BURN NOTICE 3.3","00235431"
"BURN NOTICE 3.4","00235432"
"BURN NOTICE 4.1","00240029"
"BURN NOTICE 4.2","00240030"
"BURN NOTICE 4.3","00240031"
"BURN NOTICE 4.4","00240032"
"BURN NOTICE 5.1","00243627"
"BURN NOTICE 5.2","00243628"
"BURN NOTICE 5.3","00243629"
"BURN NOTICE 5.4","00243630"
"BURN NOTICE 6.1","00246552"
"BURN NOTICE 6.2","00246553"
"BURN NOTICE 6.3","00246554"
"BURN NOTICE 6.4","00246555"
"BURN NOTICE: FALL OF SAM AXE","00240432"
"CALIFORNICATION 1.1","00225303"
"CALIFORNICATION 1.2","00222026"
"CALIFORNICATION 2.1","00230147"
"CALIFORNICATION 2.2","00230148"
"CALIFORNICATION 3.1","00237730"
"CALIFORNICATION 3.2","00237732"
"CALIFORNICATION 4.1","00241342"
"CALIFORNICATION 4.2","00241343"
"CALIFORNICATION 5.1","00244957"
"CALIFORNICATION 5.2","00244959"
"CALL THE MIDWIFE 1.1","00244714"
"CALL THE MIDWIFE 1.2","00244715"
"CAPRICA","00227802"
"CAPRICA 1.1","00237311"
"CAPRICA 1.2","00237312"
"CAPRICA 1.3","00237313"
"CAPRICA 1.4","00237317"
"CAPRICA 1.5","00246197"
"CAPRICA 1.6","00246198"
"CAPRICA 1.7","00246199"
"CARNIVALE 1.1","00206824"
"CARNIVALE 1.2","00206825"
"CARNIVALE 1.3","00206826"
